2325	7 (A W E U N B S) 
Daphniphyllum_buchananiifolium	0010000
Daphniphyllum_calycinum	0010000
Daphniphyllum_cambodianum	0010000
Daphniphyllum_chartaceum	0010000
Daphniphyllum_dichotomum	0010000
Daphniphyllum_glaucescens	0010000
Daphniphyllum_gracile	0010000
Daphniphyllum_griffithianum	0010000
Daphniphyllum_himalayense	0010000
Daphniphyllum_laurinum	0010000
Daphniphyllum_longeracemosum	0010000
Daphniphyllum_luzonense	0010000
Daphniphyllum_macropodum	0010000
Daphniphyllum_majus	0010000
Daphniphyllum_neilgherrense	0010000
Daphniphyllum_oldhamii	0010000
Daphniphyllum_papuanum	0010000
Daphniphyllum_paxianum	0010000
Daphniphyllum_pentandrum	0010000
Daphniphyllum_phillipinensis	0010000
Daphniphyllum_salicifolium	0010000
Daphniphyllum_scortechinii	0010000
Daphniphyllum_subverticillatum	0010000
Daphniphyllum_teijsmannii	0010000
Daphniphyllum_timorianum	0010000
Daphniphyllum_yunnanense	0010000
Darmera_peltata	0000100
Diamorpha_smallii	0000100
Dicoryphe_ambatovyensis	1000000
Dicoryphe_angustifolia	1000000
Dicoryphe_buddleoides	1000000
Dicoryphe_gracilis	1000000
Dicoryphe_guatteriifolia	1000000
Dicoryphe_laurina	1000000
Dicoryphe_macrophylla	1000000
Dicoryphe_noronhae	1000000
Dicoryphe_platyphylla	1000000
Dicoryphe_stipulacea	1000000
Dicoryphe_viticoides	1000000
Disanthus_cercidifolius	0010000
Distyliopsis_dunnii	0010000
Distyliopsis_lanata	0010000
Distyliopsis_laurifolia	0010000
Distyliopsis_oblanceolata	0010000
Distyliopsis_philippinensis	0010000
Distyliopsis_tutcheri	0010000
Distylium_annamicum	0010000
Distylium_buxifolium	0010000
Distylium_chinense	0010000
Distylium_chungii	0010000
Distylium_cuspidatum	0010000
Distylium_dunnianum	0010000
Distylium_elaeagnoides	0010000
Distylium_gracile	0010000
Distylium_indicum	0010000
Distylium_lanceolatum	0010000
Distylium_lepidotum	0010000
Distylium_macrophyllum	0010000
Distylium_myricoides	0010000
Distylium_pingpienense	0010000
Distylium_racemosum	0010000
Distylium_stellare	0010000
Distylium_tsiangii	0010000
Dudleya_abramsii	0000100
Dudleya_acuminata	0000100
Dudleya_albiflora	0000100
Dudleya_anomala	0000100
Dudleya_anthonyi	0000100
Dudleya_attenuata	0000100
Dudleya_blochmaniae	0000100
Dudleya_brittonii	0000100
Dudleya_caespitosa	0000100
Dudleya_calcicola	0000100
Dudleya_campanulata	0000100
Dudleya_candelabrum	0000100
Dudleya_candida	0000100
Dudleya_cultrata	0000100
Dudleya_cymosa	0000100
Dudleya_densiflora	0000100
Dudleya_edulis	0000100
Dudleya_farinosa	0000100
Dudleya_formosa	0000100
Dudleya_gatesii	0000100
Dudleya_gnoma	0000100
Dudleya_greenei	0000100
Dudleya_guadalupensis	0000100
Dudleya_ingens	0000100
Dudleya_lanceolata	0000100
Dudleya_linearis	0000100
Dudleya_multicaulis	0000100
Dudleya_nesiotica	0000100
Dudleya_nubigena	0000100
Dudleya_pachyphytum	0000100
Dudleya_palmeri	0000100
Dudleya_pauciflora	0000100
Dudleya_pulverulenta	0000100
Dudleya_rigida	0000100
Dudleya_rigidiflora	0000100
Dudleya_rubens	0000100
Dudleya_saxosa	0000100
Dudleya_semiteres	0000100
Dudleya_setchellii	0000100
Dudleya_stolonifera	0000100
Dudleya_traskiae	0000100
Dudleya_variegata	0000100
Dudleya_verityi	0000100
Dudleya_virens	0000100
Dudleya_viscida	0000100
Echeveria_acutifolia	0000100
Echeveria_affinis	0000100
Echeveria_agavoides	0000100
Echeveria_amoena	0000100
Echeveria_amphoralis	0000100
Echeveria_atropurpurea	0000100
Echeveria_australis	0000100
Echeveria_bella	0000100
Echeveria_bicolor	0000001
Echeveria_bifida	0000100
Echeveria_calderoniae	0000100
Echeveria_calycosa	0000100
Echeveria_cante	0000100
Echeveria_carnicolor	0000100
Echeveria_cerrograndensis	0000100
Echeveria_chapalensis	0000100
Echeveria_chiclensis	0000001
Echeveria_chihuahuaensis	0000100
Echeveria_coccinea	0000100
Echeveria_colorata	0000100
Echeveria_craigiana	0000100
Echeveria_cuencaensis	0000001
Echeveria_cuspidata	0000100
Echeveria_dactylifera	0000100
Echeveria_elegans	0000100
Echeveria_eurychlamys	0000001
Echeveria_excelsa	0000001
Echeveria_fulgens	0000100
Echeveria_gibbiflora	0000100
Echeveria_gigantea	0000100
Echeveria_globulosa	0000100
Echeveria_gracilis	0000100
Echeveria_grisea	0000100
Echeveria_guatemalensis	0000100
Echeveria_gudeliana	0000100
Echeveria_halbingeri	0000100
Echeveria_harmsii	0000100
Echeveria_heterosepala	0000100
Echeveria_humilis	0000100
Echeveria_johnsonii	0000001
Echeveria_juarezensis	0000100
Echeveria_kimnachii	0000100
Echeveria_laui	0000100
Echeveria_leucotricha	0000100
Echeveria_longiflora	0000100
Echeveria_longissima	0000100
Echeveria_lozanoi	0000100
Echeveria_lutea	0000100
Echeveria_macdougallii	0000100
Echeveria_macrantha	0000100
Echeveria_maxonii	0000100
Echeveria_megacalyx	0000100
Echeveria_minima	0000100
Echeveria_montana	0000100
Echeveria_moranii	0000100
Echeveria_mucronata	0000100
Echeveria_multicaulis	0000100
Echeveria_nayaritensis	0000100
Echeveria_nebularum	0000100
Echeveria_nodulosa	0000100
Echeveria_nuda	0000100
Echeveria_oreophila	0000001
Echeveria_paniculata	0000100
Echeveria_peacockii	0000100
Echeveria_perezcalixii	0000100
Echeveria_peruviana	0000001
Echeveria_pinetorum	0000100
Echeveria_pittieri	0000100
Echeveria_pringlei	0000100
Echeveria_prolifica	0000100
Echeveria_prunina	0000100
Echeveria_pulidonis	0000100
Echeveria_pulvinata	0000100
Echeveria_purhepecha	0000100
Echeveria_purpusorum	0000100
Echeveria_quitensis	0000001
Echeveria_racemosa	0000100
Echeveria_recurvata	0000001
Echeveria_rodolfi	0000100
Echeveria_rosea	0000100
Echeveria_rubromarginata	0000100
Echeveria_schaffneri	0000100
Echeveria_secunda	0000100
Echeveria_semivestita	0000100
Echeveria_sessiliflora	0000100
