1455	7 (A W E U N B S) 
Daphniphyllum_phillipinensis	0010000
Daphniphyllum_scortechinii	0010000
Daphniphyllum_teijsmannii	0010000
Darmera_peltata	0000100
Diamorpha_smallii	0000100
Dicoryphe_stipulacea	1000000
Disanthus_cercidifolius	0010000
Distyliopsis_dunnii	0010000
Distyliopsis_laurifolia	0010000
Distyliopsis_tutcheri	0010000
Distylium_myricoides	0010000
Distylium_racemosum	0010000
Dudleya_abramsii	0000100
Dudleya_acuminata	0000100
Dudleya_albiflora	0000100
Dudleya_anomala	0000100
Dudleya_anthonyi	0000100
Dudleya_attenuata	0000100
Dudleya_blochmaniae	0000100
Dudleya_brittonii	0000100
Dudleya_candelabrum	0000100
Dudleya_cymosa	0000100
Dudleya_densiflora	0000100
Dudleya_edulis	0000100
Dudleya_farinosa	0000100
Dudleya_formosa	0000100
Dudleya_greenei	0000100
Dudleya_guadalupensis	0000100
Dudleya_ingens	0000100
Dudleya_linearis	0000100
Dudleya_multicaulis	0000100
Dudleya_pachyphytum	0000100
Dudleya_pulverulenta	0000100
Dudleya_saxosa	0000100
Dudleya_stolonifera	0000100
Dudleya_variegata	0000100
Dudleya_verityi	0000100
Dudleya_virens	0000100
Echeveria_amoena	0000100
Echeveria_australis	0000100
Echeveria_bifida	0000100
Echeveria_cante	0000100
Echeveria_chihuahuaensis	0000100
Echeveria_coccinea	0000100
Echeveria_colorata	0000100
Echeveria_fulgens	0000100
Echeveria_gibbiflora	0000100
Echeveria_grisea	0000100
Echeveria_juarezensis	0000100
Echeveria_longissima	0000100
Echeveria_megacalyx	0000100
Echeveria_montana	0000100
Echeveria_nodulosa	0000100
Echeveria_nuda	0000100
Echeveria_pringlei	0000100
Echeveria_prolifica	0000100
Echeveria_pulvinata	0000100
Echeveria_purpusorum	0000100
Echeveria_racemosa	0000100
Echeveria_recurvata	0000001
Echeveria_rosea	0000100
Echeveria_setosa	0000100
Echeveria_simulans	0000100
Echeveria_strictiflora	0000100
Elmera_racemosa	0000100
Eustigma_balansae	0010000
Eustigma_honbaense	0010000
Eustigma_oblongifolium	0010000
Exbucklandia_longipetala	0010000
Exbucklandia_populnea	0010000
Exbucklandia_tonkinensis	0010000
Fortunearia_sinensis	0010000
Fothergilla_gardenii	0000100
Fothergilla_major	0000100
Glischrocaryon_aureum	0001000
Glischrocaryon_behrii	0001000
Glischrocaryon_flavescens	0001000
Glischrocaryon_roei	0001000
Gonocarpus_acanthocarpus	0011000
Gonocarpus_aggregatus	0001000
Gonocarpus_benthamii	0001000
Gonocarpus_chinensis	0011000
Gonocarpus_cordiger	0001000
Gonocarpus_elatus	0001000
Gonocarpus_ephemerus	0001000
Gonocarpus_eremophilus	0001000
Gonocarpus_humilis	0001000
Gonocarpus_intricatus	0001000
Gonocarpus_leptothecus	0001000
Gonocarpus_longifolius	0001000
Gonocarpus_mezianus	0001000
Gonocarpus_micranthus	0011000
Gonocarpus_montanus	0001000
Gonocarpus_nodulosus	0001000
Gonocarpus_oreophilus	0001000
Gonocarpus_paniculatus	0001000
Gonocarpus_pusillus	0001000
Gonocarpus_salsoloides	0001000
Gonocarpus_scordioides	0001000
Gonocarpus_tetragynus	0001000
Gonocarpus_teucrioides	0001000
Gonocarpus_trichostachyus	0001000
Gonocarpus_urceolatus	0001000
Graptopetalum_amethystinum	0000100
Graptopetalum_bartramii	0000100
Graptopetalum_bellum	0000100
Graptopetalum_filiferum	0000100
Graptopetalum_fruticosum	0000100
Graptopetalum_grande	0000100
Graptopetalum_macdougallii	0000100
Graptopetalum_mendozae	0000100
Graptopetalum_pachyphyllum	0000100
Graptopetalum_paraguayense	0000100
Graptopetalum_pentandrum	0000100
Graptopetalum_rusbyi	0000100
Haloragis_acutangula	0001000
Haloragis_aspera	0001000
Haloragis_dura	0001000
Haloragis_erecta	0001000
Haloragis_exalata	0001000
Haloragis_eyreana	0001000
Haloragis_foliosa	0001000
Haloragis_glauca	0001000
Haloragis_hamata	0001000
Haloragis_heterophylla	0001000
Haloragis_masatierrana	0000001
Haloragis_odontocarpa	0001000
Haloragis_serra	0001000
Haloragis_stricta	0001000
Haloragis_trigonocarpa	0001000
Haloragodendron_baeuerlenii	0001000
Haloragodendron_gibsonii	0001000
Haloragodendron_glandulosum	0001000
Haloragodendron_lucasii	0001000
Haloragodendron_monospermum	0001000
Haloragodendron_racemosum	0001000
Hamamelis_japonica	0010000
Hamamelis_mexicana	0000100
Hamamelis_mollis	0010000
Hamamelis_ovalis	0000100
Hamamelis_vernalis	0000100
Hamamelis_virginiana	0000100
Heuchera_abramsii	0000100
Heuchera_acutifolia	0000100
Heuchera_alba	0000100
Heuchera_americana	0000100
Heuchera_bracteata	0000100
Heuchera_brevistaminea	0000100
Heuchera_caespitosa	0000100
Heuchera_caroliniana	0000100
Heuchera_chlorantha	0000100
Heuchera_cylindrica	0000100
Heuchera_eastwoodiae	0000100
Heuchera_elegans	0000100
Heuchera_glabra	0000100
Heuchera_glomerulata	0000100
Heuchera_grossulariifolia	0000100
Heuchera_hallii	0000100
Heuchera_hirsutissima	0000100
Heuchera_lakelae	0000100
Heuchera_longiflora	0000100
Heuchera_longipetala	0000100
Heuchera_maxima	0000100
Heuchera_merriamii	0000100
Heuchera_mexicana	0000100
Heuchera_micrantha	0000100
Heuchera_missouriensis	0000100
Heuchera_novomexicana	0000100
Heuchera_parishii	0000100
Heuchera_parviflora	0000100
Heuchera_parvifolia	0000100
Heuchera_pilosissima	0000100
Heuchera_puberula	0000100
Heuchera_pubescens	0000100
Heuchera_pulchella	0000100
Heuchera_richardsonii	0000100
Heuchera_rosendahlii	0000100
Heuchera_rubescens	0000100
Heuchera_sanguinea	0000100
Heuchera_villosa	0000100
Heuchera_wellsiae	0000100
Heuchera_woodsiaphila	0000100
Heuchera_wootonii	0000100
Hieronymusia_alchemilloides	0000001
Hylotelephium_anacampseros	0000010
Hylotelephium_angustum	0010000
Hylotelephium_caucasicum	0100000
Hylotelephium_cauticola	0010000
Hylotelephium_cyaneum	0000010
Hylotelephium_erythrostictum	0010000
Hylotelephium_ewersii	0110000
Hylotelephium_mingjinianum	0010000
Hylotelephium_pallescens	0010000
Hylotelephium_pluricaule	0010000
Hylotelephium_populifolium	0100010
Hylotelephium_sieboldii	0010000
Hylotelephium_sordidum	0010000
Hylotelephium_spectabile	0010000
Hylotelephium_subcapitatum	0010000
Hylotelephium_tatarinowii	0010000
Hylotelephium_telephioides	0000100
Hylotelephium_telephium	0100010
Hylotelephium_verticillatum	0010000
Hylotelephium_viride	0010000
Itea_chinensis	0010000
Itea_glutinosa	0010000
Itea_ilicifolia	0010000
Itea_japonica	0010000
Itea_kiukiangensis	0010000
Itea_macrophylla	0010000
Itea_oldhamii	0010000
Itea_omeiensis	0010000
Itea_parviflora	0010000
Itea_virginica	0000100
Itea_yunnanensis	0010000
Jepsonia_malvifolia	0000100
Jepsonia_parryi	0000100
Kalanchoe_arborescens	1000000
Kalanchoe_beauverdii	1000000
Kalanchoe_beharensis	1000000
Kalanchoe_bentii	0100000
Kalanchoe_blossfeldiana	1000000
Kalanchoe_brachyloba	1000000
Kalanchoe_campanulata	1000000
Kalanchoe_citrina	1000000
Kalanchoe_crenata	1000000
Kalanchoe_daigremontiana	1000000
Kalanchoe_delagoensis	1000000
Kalanchoe_densiflora	1100000
Kalanchoe_elizae	1000000
Kalanchoe_eriophylla	1000000
Kalanchoe_farinacea	1000000
Kalanchoe_fedtschenkoi	1000000
Kalanchoe_garambiensis	0010000
Kalanchoe_gastonis-bonnieri	1000000
Kalanchoe_germanae	1000000
Kalanchoe_glaucescens	1000000
Kalanchoe_gracilipes	1000000
Kalanchoe_humilis	1000000
Kalanchoe_integrifolia	1000000
Kalanchoe_jongmansii	1000000
Kalanchoe_laciniata	1100000
Kalanchoe_lanceolata	1000000
Kalanchoe_lateritia	1000000
Kalanchoe_latisepala	1000000
Kalanchoe_linearifolia	1000000
Kalanchoe_longiflora	1000000
Kalanchoe_luciae	1000000
Kalanchoe_manginii	1000000
Kalanchoe_marmorata	1000000
Kalanchoe_marnieriana	1000000
Kalanchoe_millotii	1000000
Kalanchoe_miniata	1000000
Kalanchoe_mitejea	1000000
Kalanchoe_nyikae	1000000
Kalanchoe_orgyalis	1000000
Kalanchoe_paniculata	1000000
Kalanchoe_peltata	1000000
Kalanchoe_petitiana	1000000
Kalanchoe_pinnata	1000000
Kalanchoe_porphyrocalyx	1000000
Kalanchoe_prittwitzii	1000000
Kalanchoe_prolifera	1000000
Kalanchoe_pubescens	1000000
Kalanchoe_pumila	1000000
Kalanchoe_rhombopilosa	1000000
Kalanchoe_rosei	1000000
Kalanchoe_rotundifolia	1000000
Kalanchoe_scapigera	1000000
Kalanchoe_streptantha	1000000
Kalanchoe_synsepala	1000000
Kalanchoe_thyrsiflora	1000000
Kalanchoe_tomentosa	1000000
Kalanchoe_uniflora	1000000
Kalanchoe_velutina	1000000
Kalanchoe_waldheimii	1000000
Laurembergia_repens	1000000
Lenophyllum_acutifolium	0000100
Lenophyllum_guttatum	0000100
Leptarrhena_pyrolifolia	0000100
Liquidambar_acalycina	0010000
Liquidambar_formosana	0010000
Liquidambar_orientalis	0100000
Liquidambar_styraciflua	0000100
Lithophragma_affine	0000100
Lithophragma_bolanderi	0000100
Lithophragma_campanulatum	0000100
Lithophragma_cymbalaria	0000100
Lithophragma_glabrum	0000100
Lithophragma_heterophyllum	0000100
Lithophragma_maximum	0000100
Lithophragma_parviflorum	0000100
Lithophragma_tenellum	0000100
Lithophragma_trifoliatum	0000100
Loropetalum_chinense	0010000
Loropetalum_subcordatum	0010000
Matudaea_colombiana	0000001
Matudaea_trinervia	0000100
Medusandra_mpomiana	1000000
Medusandra_richardsiana	1000000
Meionectes_brownii	0001000
Meionectes_tenuifolia	0001000
Meterostachys_sikokianus	0010000
Micranthes_apetala	0000100
Micranthes_aprica	0000100
Micranthes_atrata	0010000
Micranthes_bryophora	0000100
Micranthes_californica	0000100
Micranthes_calycina	0000110
Micranthes_careyana	0000100
Micranthes_caroliniana	0000100
Micranthes_clavistaminea	0010000
Micranthes_clusii	0000010
Micranthes_davidii	0010000
Micranthes_eriophora	0000100
Micranthes_ferruginea	0000100
Micranthes_foliolosa	0000110
Micranthes_fusca	0010000
Micranthes_gageana	0010000
Micranthes_hieraciifolia	0100110
Micranthes_howellii	0000100
Micranthes_integrifolia	0000100
Micranthes_japonica	0010000
Micranthes_laciniata	0010000
Micranthes_lumpuensis	0010000
Micranthes_lyallii	0000100
Micranthes_manchuriensis	0010000
Micranthes_melanocentra	0010000
Micranthes_merkii	0010010
Micranthes_micranthidifolia	0000100
Micranthes_nelsoniana	0100110
Micranthes_nidifica	0000100
Micranthes_nivalis	0000110
Micranthes_occidentalis	0000100
Micranthes_odontoloma	0000100
Micranthes_oregana	0000100
Micranthes_pallida	0010000
Micranthes_pensylvanica	0000100
Micranthes_petiolaris	0000100
Micranthes_razshivinii	0000100
Micranthes_redofskyi	0000010
Micranthes_reflexa	0000100
Micranthes_rhomboidea	0000100
Micranthes_rufidula	0000100
Micranthes_sachalinensis	0010010
Micranthes_spicata	0000100
Micranthes_stellaris	0000110
Micranthes_subapetala	0000100
Micranthes_tempestiva	0000100
Micranthes_tenuis	0000110
Micranthes_texana	0000100
Micranthes_tolmiei	0010100
Micranthes_virginiensis	0000100
Mitella_acerina	0010000
Mitella_breweri	0000100
Mitella_caulescens	0000100
Mitella_diphylla	0000100
Mitella_diversifolia	0000100
Mitella_formosana	0010000
Mitella_furusei	0010000
Mitella_integripetala	0010000
Mitella_japonica	0010000
Mitella_kiusiana	0010000
Mitella_koshiensis	0010000
Mitella_nuda	0010100
Mitella_ovalis	0000100
Mitella_pauciflora	0010000
Mitella_pentandra	0000100
Mitella_stauropetala	0000100
Mitella_stylosa	0010000
Mitella_trifida	0000100
Mitella_yoshinagae	0010000
Molinadendron_guatemalense	0000100
Molinadendron_sinaloense	0000100
Monanthes_anagensis	1000000
Monanthes_atlantica	1000000
Monanthes_brachycaulos	1000000
Monanthes_icterica	1000000
Monanthes_laxiflora	1000000
Monanthes_minima	1000000
Monanthes_muralis	1000000
Monanthes_polyphylla	1000000
Mukdenia_rossii	0010000
Myriophyllum_alpinum	0001000
Myriophyllum_alterniflorum	1000110
Myriophyllum_amphibium	0001000
Myriophyllum_aquaticum	0000001
Myriophyllum_balladoniense	0001000
Myriophyllum_caput-medusae	0001000
Myriophyllum_coronatum	0011000
Myriophyllum_crispatum	0001000
Myriophyllum_decussatum	0001000
Myriophyllum_dicoccum	0011000
Myriophyllum_drummondii	0001000
Myriophyllum_echinatum	0001000
Myriophyllum_farwellii	0000100
Myriophyllum_filiforme	0001000
Myriophyllum_heterophyllum	0000100
Myriophyllum_hippuroides	0000100
Myriophyllum_humile	0000100
Myriophyllum_lapidicola	0001000
Myriophyllum_latifolium	0001000
Myriophyllum_laxum	0000100
Myriophyllum_limnophilum	0001000
Myriophyllum_lophatum	0001000
Myriophyllum_mattogrossensis	0000001
Myriophyllum_muricatum	0001000
Myriophyllum_papillosum	0001000
Myriophyllum_pedunculatum	0011000
Myriophyllum_petraeum	0001000
Myriophyllum_pinnatum	0000100
Myriophyllum_propinquum	0001000
Myriophyllum_quitense	0000001
Myriophyllum_robustum	0001000
Myriophyllum_salsugineum	0001000
Myriophyllum_sibiricum	0010100
Myriophyllum_simulans	0001000
Myriophyllum_spicatum	1110010
Myriophyllum_tenellum	0000100
Myriophyllum_tillaeoides	0001000
Myriophyllum_trachycarpum	0001000
Myriophyllum_trifidum	0001000
Myriophyllum_triphyllum	0001000
Myriophyllum_ussuriense	0010000
Myriophyllum_variifolium	0001000
Myriophyllum_verrucosum	0001000
Myriophyllum_verticillatum	1110110
Myriophyllum_votschii	0001000
Mytilaria_laosensis	0010000
Neostrearia_fleckeri	0001000
Noahdendron_nicholasii	0001000
Oresitrophe_rupifraga	0010000
Orostachys_chanetii	0010000
Orostachys_fimbriata	0010000
Orostachys_gorovoii	0010000
Orostachys_iwarenge	0010000
Orostachys_japonica	0010000
Orostachys_malacophylla	0010010
Orostachys_paradoxa	0010000
Orostachys_schoenlandii	0010000
Orostachys_spinosa	0110000
Orostachys_thyrsiflora	0110000
Ostrearia_australiana	0001000
Pachyphytum_caesium	0000100
Pachyphytum_compactum	0000100
Pachyphytum_fittkaui	0000100
Pachyphytum_glutinicaule	0000100
Pachyphytum_hookeri	0000100
Pachyphytum_kimnachii	0000100
Pachyphytum_oviferum	0000100
Pachyphytum_viride	0000100
Paeonia_anomala	0110010
Paeonia_arietina	0100010
Paeonia_broteri	1000010
Paeonia_brownii	0000100
Paeonia_californica	0000100
Paeonia_cambessedesii	0000010
Paeonia_caucasica	0100000
Paeonia_clusii	0100010
Paeonia_coriacea	1000010
Paeonia_daurica	0100010
Paeonia_decomposita	0010000
Paeonia_delavayi	0010000
Paeonia_emodi	0110000
Paeonia_intermedia	0100000
Paeonia_jishanensis	0010000
Paeonia_lactiflora	0010010
Paeonia_ludlowii	0010000
Paeonia_macrophylla	0100000
Paeonia_mairei	0010000
Paeonia_mascula	0100010
Paeonia_mlokosewitschii	0100000
Paeonia_morisii	0000010
Paeonia_obovata	0010000
Paeonia_officinalis	1100010
Paeonia_ostii	0010000
Paeonia_parnassica	0000010
Paeonia_peregrina	0100010
Paeonia_rockii	0010000
Paeonia_szechuanica	0010000
Paeonia_tenuifolia	0100010
Paeonia_veitchii	0010000
Paeonia_wittmanniana	0100000
Parrotia_persica	0100000
Parrotia_subaequalis	0010000
Parrotiopsis_jacquemontiana	0110000
Peltoboykinia_tellimoides	0010000
Penthorum_chinense	0010000
Penthorum_sedoides	0000100
Peridiscus_lucidus	0000001
Phedimus_aizoon	0010010
Phedimus_hybridus	0100000
Phedimus_kamtschaticus	0010010
Phedimus_middendorffianus	0010000
Phedimus_obtusifolius	0100010
Phedimus_sikokianus	0010000
Phedimus_spurius	0100000
Phedimus_stellatus	0100010
Phedimus_stoloniferus	0100000
Pistorinia_breviflora	1000010
Pistorinia_hispanica	1000010
Prometheum_chrysanthum	0100000
Prometheum_pilosum	0100000
Prometheum_sempervivoides	0100000
Proserpinaca_palustris	0000101
Proserpinaca_pectinata	0000100
Pseudosedum_condensatum	0100000
Pseudosedum_lievenii	0110000
Pseudosedum_longidentatum	0100000
Pterostemon_mexicanus	0000100
Pterostemon_rotundifolius	0000100
Rhodiola_algida	0100000
Rhodiola_alsia	0010000
Rhodiola_amabilis	0010000
Rhodiola_atsaensis	0010000
Rhodiola_atuntsuensis	0010000
Rhodiola_bupleuroides	0010000
Rhodiola_calliantha	0010000
Rhodiola_chrysanthemifolia	0010000
Rhodiola_coccinea	0010000
Rhodiola_crenulata	0010000
Rhodiola_cretinii	0010000
Rhodiola_discolor	0010000
Rhodiola_dumulosa	0010000
Rhodiola_fastigiata	0010000
Rhodiola_gelida	0110000
Rhodiola_heterodonta	0110000
Rhodiola_himalensis	0010000
Rhodiola_hobsonii	0010000
Rhodiola_humilis	0010000
Rhodiola_imbricata	0010000
Rhodiola_integrifolia	0000110
Rhodiola_ishidae	0010000
Rhodiola_kirilowii	0110000
Rhodiola_macrocarpa	0010000
Rhodiola_nobilis	0010000
Rhodiola_pachyclados	0110000
Rhodiola_pamiroalaica	0110000
Rhodiola_prainii	0010000
Rhodiola_primuloides	0010000
Rhodiola_purpureoviridis	0010000
Rhodiola_quadrifida	0100000
Rhodiola_recticaulis	0110000
Rhodiola_rhodantha	0000100
Rhodiola_rosea	0110110
Rhodiola_semenovii	0100000
Rhodiola_serrata	0010000
Rhodiola_sherriffii	0010000
Rhodiola_sinuata	0010000
Rhodiola_smithii	0010000
Rhodiola_stapfii	0010000
Rhodiola_tangutica	0010000
Rhodiola_tibetica	0010000
Rhodiola_wallichiana	0010000
Rhodiola_yunnanensis	0010000
Rhodoleia_championii	0010000
Rhodoleia_henryi	0010000
Ribes_aciculare	0100000
Ribes_affine	0000100
Ribes_alpestre	0110000
Ribes_alpinum	0100010
Ribes_altissimum	0000010
Ribes_amarum	0000100
Ribes_americanum	0000100
Ribes_andicola	0000001
Ribes_aureum	0000100
Ribes_binominatum	0000100
Ribes_bracteosum	0000100
Ribes_brandegeei	0000100
Ribes_burejense	0010000
Ribes_californicum	0000100
Ribes_cereum	0000100
Ribes_ceriferum	0000100
Ribes_ciliatum	0000100
Ribes_curvatum	0000100
Ribes_cynosbati	0000100
Ribes_densiflorum	0000001
Ribes_diacanthum	0010010
Ribes_divaricatum	0000100
Ribes_dugesii	0000100
Ribes_echinellum	0000100
Ribes_erythrocarpum	0000100
Ribes_fasciculatum	0010000
Ribes_formosanum	0010000
Ribes_giraldii	0010000
Ribes_glaciale	0010000
Ribes_glandulosum	0000100
Ribes_graveolens	0100000
Ribes_griffithii	0010000
Ribes_himalense	0010000
Ribes_hirtellum	0000100
Ribes_horridum	0010010
Ribes_howellii	0000100
Ribes_hudsonianum	0000100
Ribes_humile	0010000
Ribes_indecorum	0000100
Ribes_inerme	0000100
Ribes_janczewskii	0100000
Ribes_komarovii	0010000
Ribes_laciniatum	0010000
Ribes_lacustre	0000100
Ribes_laxiflorum	0000100
Ribes_lobbii	0000100
Ribes_longeracemosum	0010000
Ribes_malvaceum	0000100
Ribes_mandshuricum	0010000
Ribes_maximowiczianum	0010000
Ribes_maximowiczii	0010000
Ribes_menziesii	0000100
Ribes_meyeri	0110000
Ribes_missouriense	0000100
Ribes_montigenum	0000100
Ribes_moupinense	0010000
Ribes_multiflorum	0000100
Ribes_nigrum	0110010
Ribes_niveum	0000100
Ribes_orientale	0110010
Ribes_ovalifolium	0000001
